Nazwa,Dzielnica,Adres,Kod,Sporty,Telefon,E-mail,WWW,Operator,Status,System rezerwacji,Przypisany,Osoba kontaktowa,Ostatni kontakt,Followup,Notatki,AI,Ostatnia zmiana
12ft,Stare Miasto,"Za Bramką 10/11, 61-842 Poznań, Polska",61-842,wielofunkcyjne,+48 889 712 019,12ftpoznan@gmail.com,12ftclub.pl,Klub prywatny,Nowy,Nieznany,,,,,,"12ft to klub bilardowy (snookerowy) znajdujący się na ul. Za Bramką 10/11 w Poznaniu, działający od 2007 roku. Jest to klub prywatny oferujący gry w bilard, snookera i darty. Kontakt: +48 889 712 019 lub 12ftpoznan@gmail.com. Strona www: 12ftclub.pl. Otwarte codziennie od 12:00. Rezerwacja stołów wymaga bezpośredniego kontaktu telefonicznego lub mailowego - precyzyjny system rezerwacji nie został określony.",
AKWEN,,Poznań,,wielofunkcyjne,+48 61 415 19 13; +48 61 646 01 62,w.grabinski@akwenczerwonak.pl,https://akwenczerwonak.pl/boiska-sportowe/,AKWEN,Nowy,Nieznany,,,,,,,Franek
Arena,,"Stanisława Wyspiańskiego, 33, Poznań",,wielofunkcyjne,,,https://posir.poznan.pl/obiekty/kasprowicza/hala-sportow-walki,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie na numer 61 835 79 00 (centrala) lub 61 835 79 01 (sekretariat); brak informacji o systemie online.,
Atlantis Fitness Club,,"Złotowska, 86, Poznań",,wielofunkcyjne,+48 505 535 845,klub@atlantisfitness.pl,https://www.AtlantisFitness.pl,Prywatny klub fitness,Nowy,Zewnętrzny,,,,,,"Atlantis Fitness Club to prywatny klub fitness na Złotowskiej 86 w Poznaniu. Oferuje salę maszyn siłowych, strefy cardio, aerobic, salę funkcjonalną, bokserską, saunę i rolletic. Rezerwacja i dostęp możliwe poprzez karty MultiSport Plus, MultiSport Senior oraz OK System. Kontakt: +48 505 535 845, klub@atlantisfitness.pl.",
AWF Poznań,,Poznań,,wielofunkcyjne,61 833 05 11,,http://www.chwialka.poznan.pl/,,Nowy,Nieznany,,,,,,,
AZS Poznań,,"Zygmunta Noskowskiego, 25, Poznań",61-705,wielofunkcyjne,61 852 98 17,poznan@azs.pl,http://www.poznanazs.pl/,Akademicki Związek Sportowy,Nowy,Nieznany,,,,,,,
AZS Poznań,,Poznań,,wielofunkcyjne,61 853 03 60,,http://www.poznanazs.pl/,,Nowy,Nieznany,,,,,,"Strona główna AZS Poznań nie zawiera informacji o systemie rezerwacji obiektu Boisko Przepadek. Dostępne są jedynie informacje o organizacji, aktualności sportowe i zdarzenia.",
Black Ball Klub bilardowy,,"Wielka 21, 61-775 Poznań, Polska",,wielofunkcyjne,+48 61 855 14 96,,http://www.blackball.pl,Klub prywatny,Nowy,Telefon,,,,,,"Black Ball Klub bilardowy to prywatny klub zlokalizowany przy ul. Wielkiej 21 w Poznaniu. Udostępnia 11 stołów bilardowych i rzutki. Rezerwacje przyjmowane telefonicznie pod numerem +48 61 855 14 96. Obiekt czynny od 15:00 (poniedziałek–czwartek do 00:00, piątek–sobota do 02:00). Strona www: blackball.pl.",
Boisko — hokej,Grunwald Południe,ul. Promienista,60-288,hokej,602 114 082,,,,Nowy,Nieznany,,,,,,,
Boisko — hokej,,Poznań,,hokej,61 835 50 00,,http://awf.poznan.pl/,,Nowy,E-mail,,,,,,Rezerwacje boisk hokejowych przyjmowane przez e-mail - adres podany w sekcji kontaktu obiektu.,
Boisko — hokej na trawie · sztuczna trawa,Jagiellońskie,ul. Poselska,63-000,hokej na trawie,61 285 23 74,,https://www.orlik2012.pl/index.php/znajdz-orlika/sroda-wielkopolska-ul-lipowa-9,,Nowy,Nieznany,,,,,,Strona domeny orlik2012.pl jest niedostępna - wyświetla tylko stronę rejestratora Aftermarket.pl. Nie można określić sposobu rezerwacji obiektu sportowego.,
